Survived,Pclass,Sex,Fare,FamilySize,IsAlone,AgeGroup
1,3,0,8.1125,1,1,4
1,1,0,81.8583,3,0,0
1,2,1,19.5,2,0,1
1,1,0,26.55,1,1,2
1,3,1,19.2583,4,0,0
1,1,0,30.5,1,1,3
0,2,0,27.75,4,0,3
0,3,0,19.9667,2,0,4
0,1,0,27.75,1,1,2
1,1,0,89.1042,2,0,3
0,3,0,8.05,1,1,4
1,3,0,7.8958,1,1,2
0,1,0,26.55,1,1,4
1,1,1,51.8625,2,0,4
1,2,1,10.5,1,1,3
0,3,0,7.75,1,1,4
1,1,0,26.55,1,1,3
0,3,0,8.05,1,1,2
0,1,0,38.5,1,1,3
0,2,0,13.0,1,1,3
0,3,0,8.05,1,1,4
0,3,0,7.05,1,1,3
0,2,0,0.0,1,1,4
0,1,0,26.55,1,1,4
0,3,0,7.725,1,1,4
1,3,1,19.2583,4,0,0
0,3,0,7.25,1,1,4
0,3,0,8.6625,1,1,3
1,2,1,27.75,4,0,2
1,2,1,13.7917,1,1,2
0,3,1,9.8375,1,1,2
0,1,0,52.0,1,1,4
0,2,0,21.0,2,0,2
0,3,0,7.0458,2,0,2
0,3,0,7.5208,1,1,2
1,3,1,12.2875,2,0,0
0,3,0,46.9,8,0,0
0,2,0,0.0,1,1,4
0,3,0,8.05,1,1,3
1,3,1,9.5875,1,1,4
1,1,0,91.0792,2,0,2
0,3,1,25.4667,5,0,4
1,1,1,90.0,2,0,2
0,1,0,29.7,1,1,4
0,3,0,8.05,1,1,2
1,3,0,15.9,3,0,0
0,3,0,19.9667,2,0,4
0,3,0,7.25,1,1,2
0,1,0,30.5,1,1,3
0,1,0,49.5042,1,1,4
0,3,0,8.05,1,1,2
0,3,0,14.4583,1,1,4
1,1,1,78.2667,2,0,3
0,3,0,15.1,1,1,4
0,1,1,151.55,4,0,2
0,3,0,7.7958,1,1,2
0,3,0,8.6625,1,1,1
0,3,1,7.75,1,1,2
0,3,1,7.6292,1,1,4
0,3,1,9.5875,1,1,3
1,1,1,86.5,1,1,1
0,1,0,108.9,2,0,1
1,2,1,26.0,3,0,2
1,1,0,26.55,1,1,4
0,3,0,22.525,1,1,2
1,3,0,56.4958,1,1,2
1,3,0,7.75,1,1,2
0,3,0,8.05,1,1,4
1,1,0,26.2875,1,1,3
1,1,1,59.4,2,0,3
0,3,0,7.4958,1,1,2
0,1,0,34.0208,1,1,3
1,2,1,10.5,1,1,2
0,3,0,24.15,1,1,4
1,2,1,26.0,2,0,3
0,3,0,7.8958,1,1,2
1,1,1,93.5,1,1,2
0,3,0,7.8958,1,1,2
0,3,0,7.225,1,1,4
1,1,1,57.9792,2,0,3
0,3,0,7.2292,1,1,4
0,3,0,7.75,1,1,3
1,2,1,10.5,1,1,3
0,1,0,221.7792,1,1,4
0,3,0,7.925,1,1,3
0,2,0,11.5,4,0,2
1,2,1,26.0,3,0,0
0,3,0,7.2292,1,1,4
0,3,0,7.2292,3,0,1
1,3,1,22.3583,3,0,4
0,3,1,8.6625,1,1,2
1,2,1,26.25,3,0,0
0,1,0,26.55,1,1,3
1,1,1,106.425,1,1,2
0,3,0,14.5,1,1,4
1,1,1,49.5,3,0,2
1,1,1,71.0,3,0,3
0,3,1,31.275,7,0,0
0,3,1,31.275,7,0,0
1,2,0,26.0,2,0,2
0,1,0,106.425,2,0,3
0,1,0,26.0,1,1,4
1,2,1,26.0,2,0,1
1,2,0,13.8625,1,1,4
0,3,0,20.525,3,0,2
1,2,0,36.75,3,0,0
1,1,0,110.8833,3,0,1
0,2,0,26.0,1,1,2
0,3,0,7.8292,1,1,4
1,3,0,7.225,1,1,2
1,3,1,7.775,1,1,2
0,1,0,26.55,1,1,4
1,1,1,39.6,2,0,3
0,1,0,227.525,1,1,4
1,1,1,79.65,3,0,3
1,3,1,17.4,2,0,3
0,3,0,7.75,1,1,4
0,3,0,7.8958,1,1,3
0,2,0,13.5,1,1,2
0,3,0,8.05,1,1,4
0,3,1,8.05,1,1,4
0,3,0,24.15,3,0,2
0,3,0,7.8958,1,1,1
0,3,1,21.075,5,0,2
0,3,0,7.2292,1,1,4
1,3,0,7.8542,1,1,2
1,2,0,10.5,1,1,4
1,1,1,51.4792,3,0,3
1,1,0,26.3875,1,1,3
1,3,1,7.75,1,1,4
0,3,0,8.05,1,1,1
0,3,0,14.5,1,1,1
1,2,1,13.0,1,1,2
1,1,1,55.9,2,0,3
0,3,1,14.4583,2,0,4
1,3,0,7.925,1,1,2
1,2,1,30.0,3,0,2
1,1,1,110.8833,3,0,3
0,2,0,26.0,1,1,3
0,1,0,40.125,1,1,3
0,3,0,8.7125,1,1,4
1,1,1,79.65,3,0,1
0,2,0,15.0,1,1,3
1,1,0,79.2,3,0,4
0,3,0,8.05,1,1,2
0,3,0,8.05,1,1,4
0,3,0,7.125,1,1,2
1,1,1,78.2667,2,0,3
0,3,0,7.25,1,1,3
0,3,1,7.75,3,0,4
0,2,0,26.0,2,0,3
0,3,0,24.15,3,0,3
1,2,1,33.0,1,1,4
0,3,0,0.0,1,1,3
0,3,0,7.225,1,1,4
1,1,0,56.9292,2,0,3
1,2,1,27.0,4,0,2
0,3,0,7.8958,1,1,4
0,1,0,42.4,1,1,4
0,3,0,8.05,1,1,3
1,1,0,26.55,1,1,2
0,3,0,15.55,2,0,3
0,3,0,7.8958,1,1,2
1,1,0,30.5,1,1,2
1,2,1,41.5792,4,0,2
1,1,1,153.4625,1,1,3
0,3,1,31.275,7,0,3
0,3,0,7.05,1,1,4
1,3,1,15.5,2,0,4
0,3,0,7.75,1,1,4
0,3,0,8.05,1,1,2
1,2,1,65.0,4,0,2
0,3,0,14.4,3,0,2
0,3,1,16.1,2,0,2
1,2,1,39.0,4,0,0
0,2,0,10.5,1,1,2
0,3,0,14.4542,2,0,2
1,1,0,52.5542,2,0,3
1,3,0,15.7417,3,0,2
0,3,0,7.8542,1,1,2
0,3,0,16.1,1,1,2
0,1,0,32.3208,1,1,4
0,2,0,12.35,1,1,4
1,1,1,77.9583,1,1,2
0,3,0,7.8958,1,1,2
0,3,0,7.7333,1,1,4
1,1,0,30.0,1,1,4
0,3,0,7.0542,1,1,3
1,1,0,30.5,1,1,2
0,1,0,0.0,1,1,4
0,3,1,27.9,6,0,0
1,2,1,13.0,1,1,2
0,3,0,7.925,1,1,2
0,2,0,26.25,3,0,2
0,3,1,39.6875,6,0,3
0,3,0,16.1,2,0,4
0,3,0,7.8542,1,1,2
1,1,1,69.3,1,1,2
0,3,1,27.9,6,0,0
1,3,0,56.4958,1,1,4
1,3,1,19.2583,4,0,0
1,1,0,76.7292,2,0,3
0,3,0,7.8958,1,1,1
1,1,0,35.5,1,1,4
0,3,0,7.55,1,1,4
1,3,1,7.55,1,1,2
0,3,0,7.8958,1,1,4
1,2,1,23.0,2,0,1
0,3,0,8.4333,1,1,2
1,3,1,7.8292,1,1,4
0,3,1,6.75,1,1,1
0,2,0,73.5,3,0,2
0,3,0,7.8958,1,1,4
0,3,1,15.5,3,0,2
0,2,0,13.0,1,1,2
0,1,0,113.275,3,0,4
1,1,0,133.65,3,0,3
0,3,0,7.225,1,1,3
0,1,0,25.5875,1,1,3
0,3,0,7.4958,1,1,3
1,3,0,7.925,2,0,2
0,2,0,73.5,3,0,2
0,2,0,13.0,1,1,2
0,3,0,7.775,1,1,4
0,3,0,8.05,1,1,3
1,1,1,52.0,2,0,4
1,2,1,39.0,3,0,3
0,1,0,52.0,2,0,2
0,2,0,10.5,1,1,4
1,2,0,13.0,1,1,2
0,2,0,0.0,1,1,4
0,3,0,7.775,1,1,1
0,3,0,8.05,1,1,2
1,3,1,9.8417,1,1,1
0,3,1,46.9,8,0,3
1,1,0,512.3292,2,0,3
0,3,1,8.1375,1,1,4
1,1,0,76.7292,1,1,2
0,3,0,9.225,1,1,2
0,3,0,46.9,8,0,1
0,2,0,39.0,3,0,4
0,2,0,41.5792,4,0,2
0,3,0,39.6875,6,0,1
0,3,0,10.1708,1,1,1
0,3,0,7.7958,1,1,1
1,1,1,211.3375,2,0,1
1,1,0,57.0,2,0,2
1,3,1,13.4167,2,0,0
1,3,0,56.4958,1,1,4
0,3,0,7.225,1,1,2
0,1,0,26.55,1,1,4
0,2,0,13.5,1,1,3
0,3,0,8.05,1,1,3
1,3,1,7.7333,1,1,4
0,1,0,110.8833,3,0,3
0,3,0,7.65,1,1,3
1,1,1,227.525,2,0,1
1,1,0,26.2875,1,1,2
0,3,1,14.4542,2,0,1
0,3,0,7.7417,1,1,2
0,3,0,7.8542,2,0,2
0,2,0,26.0,1,1,3
1,2,1,13.5,1,1,3
1,1,0,26.2875,1,1,3
1,1,1,151.55,1,1,2
1,3,0,15.2458,3,0,4
1,1,1,49.5042,1,1,2
0,1,0,26.55,1,1,4
1,1,0,52.0,2,0,3
0,3,0,9.4833,1,1,2
0,2,0,13.0,1,1,3
0,3,0,7.65,1,1,1
1,1,1,227.525,1,1,3
1,2,1,10.5,1,1,2
0,3,0,15.5,1,1,4
0,3,0,7.775,1,1,2
1,2,1,33.0,2,0,0
0,3,0,7.0542,2,0,1
0,2,0,13.0,1,1,2
0,2,0,13.0,1,1,3
1,1,0,53.1,2,0,2
0,3,0,8.6625,1,1,2
1,2,1,21.0,4,0,2
1,3,1,7.7375,1,1,4
0,2,0,26.0,2,0,2
0,3,1,7.925,2,0,2
1,1,1,211.3375,1,1,2
0,3,0,18.7875,1,1,0
0,2,0,0.0,1,1,4
0,2,0,13.0,1,1,2
0,2,0,13.0,1,1,2
0,3,0,16.1,1,1,2
0,3,1,34.375,5,0,3
1,1,0,512.3292,1,1,2
0,3,0,7.8958,1,1,4
0,3,0,7.8958,1,1,4
1,1,0,30.0,1,1,4
0,1,0,78.85,2,0,3
1,1,1,262.375,5,0,2
0,3,0,16.1,2,0,2
1,3,0,7.925,1,1,2
0,1,0,71.0,3,0,4
0,3,0,20.25,3,0,1
1,2,1,13.0,1,1,2
0,1,0,53.1,2,0,1
0,3,0,7.75,1,1,2
1,2,1,23.0,3,0,0
1,3,0,12.475,2,0,0
0,3,0,9.5,1,1,2
0,3,0,7.8958,1,1,2
1,2,1,65.0,4,0,3
1,2,0,14.5,3,0,0
0,3,0,7.7958,1,1,2
0,2,0,11.5,1,1,1
0,3,0,8.05,1,1,2
1,1,1,86.5,1,1,2
0,3,0,14.5,1,1,4
0,3,0,7.125,1,1,3
1,3,0,7.2292,1,1,2
1,1,1,120.0,4,0,3
0,3,0,7.775,1,1,1
1,1,1,77.9583,2,0,3
0,1,0,39.6,1,1,4
0,3,1,7.75,1,1,2
0,3,0,24.15,2,0,4
0,3,0,8.3625,1,1,2
0,3,0,9.5,1,1,2
0,3,0,7.8542,1,1,3
0,2,1,10.5,1,1,4
0,3,0,7.225,1,1,4
1,2,1,23.0,5,0,3
0,3,0,7.75,1,1,1
0,3,0,7.75,1,1,4
1,3,1,12.475,1,1,0
0,3,0,7.7375,1,1,4
1,1,1,211.3375,2,0,3
1,3,1,7.2292,1,1,1
1,1,1,57.0,2,0,1
0,1,0,30.0,1,1,2
0,3,0,23.45,4,0,4
0,3,0,7.05,1,1,2
0,3,0,7.25,1,1,2
1,3,1,7.4958,1,1,1
0,3,0,29.125,6,0,0
1,3,0,20.575,4,0,0
0,1,0,79.2,1,1,3
0,3,0,7.75,1,1,4
0,2,0,26.0,1,1,1
0,3,1,69.55,11,0,4
0,1,0,30.6958,1,1,4
0,3,0,7.8958,1,1,2
0,2,0,13.0,1,1,3
1,1,1,25.9292,1,1,3
1,3,1,8.6833,1,1,2
0,3,0,7.2292,1,1,2
0,3,1,24.15,3,0,2
0,2,0,13.0,1,1,2
1,2,1,26.25,3,0,2
1,1,0,120.0,4,0,0
1,3,0,8.5167,2,0,0
1,3,0,6.975,1,1,2
0,3,0,7.775,1,1,2
0,1,0,0.0,1,1,3
0,3,1,7.775,1,1,1
0,2,0,13.0,1,1,3
1,1,1,53.1,2,0,2
0,3,0,7.8875,1,1,2
0,3,0,24.15,1,1,3
0,2,0,10.5,1,1,2
0,3,1,31.275,7,0,0
0,3,0,8.05,1,1,2
0,1,0,0.0,1,1,4
0,3,1,7.925,1,1,2
0,2,0,37.0042,3,0,2
0,3,0,6.45,1,1,3
0,3,0,27.9,6,0,0
1,1,1,93.5,3,0,3
1,3,0,8.6625,1,1,2
0,1,0,0.0,1,1,3
1,3,1,12.475,2,0,2
0,3,0,39.6875,6,0,0
0,3,0,6.95,1,1,4
0,3,0,56.4958,1,1,4
1,2,0,37.0042,3,0,0
1,3,0,7.75,1,1,4
1,1,1,80.0,1,1,4
1,3,1,14.4542,2,0,1
1,2,0,18.75,3,0,0
0,3,0,7.2292,1,1,4
0,3,0,7.8542,1,1,2
0,3,0,8.3,1,1,1
1,1,1,83.1583,3,0,3
0,3,0,8.6625,1,1,2
0,3,0,8.05,1,1,4
1,3,0,56.4958,1,1,2
1,1,0,29.7,1,1,4
0,3,0,7.925,1,1,2
0,2,0,10.5,1,1,1
1,1,1,31.0,1,1,2
0,3,0,6.4375,1,1,2
0,3,0,8.6625,1,1,1
0,3,0,7.55,1,1,3
0,3,0,69.55,11,0,4
0,3,0,7.8958,1,1,2
0,2,0,33.0,2,0,2
1,1,1,89.1042,2,0,4
0,3,0,31.275,7,0,0
0,3,0,7.775,1,1,4
0,3,1,15.2458,3,0,0
1,1,1,39.4,2,0,1
0,2,1,26.0,2,0,3
1,3,1,9.35,2,0,1
1,1,1,164.8667,3,0,3
1,1,0,26.55,1,1,3
1,3,1,19.2583,4,0,2
0,3,0,7.2292,1,1,4
0,3,0,14.1083,3,0,3
0,2,0,11.5,2,0,2
1,1,1,25.9292,1,1,3
0,3,1,69.55,11,0,4
0,2,0,13.0,1,1,2
1,2,1,13.0,1,1,3
1,2,1,13.8583,2,0,2
0,1,0,50.4958,1,1,2
0,3,0,9.5,1,1,4
1,3,0,11.1333,3,0,0
0,3,0,7.8958,1,1,2
1,1,1,52.5542,3,0,3
0,1,0,5.0,1,1,2
0,3,0,9.0,1,1,3
1,2,1,24.0,2,0,2
1,3,1,7.225,1,1,1
0,3,0,9.8458,1,1,2
0,3,0,7.8958,1,1,1
0,3,0,7.8958,1,1,4
1,1,1,83.1583,2,0,4
1,2,1,26.0,2,0,2
0,3,0,7.8958,1,1,2
0,3,1,10.5167,1,1,2
0,2,0,10.5,1,1,2
0,3,0,7.05,1,1,2
0,3,1,29.125,6,0,3
0,2,0,13.0,1,1,2
1,1,1,30.0,1,1,1
0,3,1,23.45,4,0,4
1,1,0,30.0,1,1,2
0,3,0,7.75,1,1,2
